Абхазский abk/ab
Азербайджанский aze/az
Албанский alb/sqi/sq
Английский eng/en
Армянский arm/hye/hy
Башкирский ba
Белорусский bel/be
Болгарский bul/bg
Венгерский hun/hu
Вьетнамский vie/vi
Голландский dut/nla/nl
Греческий(современный) ell/gre/el
Данийский dan/da
Древнегреческий grc
Иврит heb/he
Испанский esl/spa/es
Итальянский ita/it
Казахский kaz/kk
Киргизский kir/ky
Китайский chi/zho/zh
Корейский kor/ko
Латинский lat/la
Латвийский lav/lv
Литовский lit/lt
Македонийский mac/mak
Молдавский mol/mo
Монгольский mon/mn
Немецкий deu/ger/de
Несколько mul
Неопределенный und
Норвежский nor/no
Персидский fas/per/fa
Польский pol/pl
Португальский por/pt
Русский rus/ru
Санскрит san/sa
Словакский slk/slo/sk
Словенский slv/sl
Таджикский tgk/tg
Татарский tat/tt
Турецкий tur/tr
Узбекский uzb/uz
Украинский ukr/uk
Уэльский cym/wel/cy
Финский fin/fi
Французский fra/fre/fr
Чеченский che
Чешский ces/cze
Хорватский hr
Шведский sve/swe/sv
Эсперанто epo/eo
Эстонский est/et
Японский jpn/ja
